txId,location,source,message,type,lineNumber
25,US,list1,‫test‫,metadata,25
26,Other,list3,Ω≈ç√∫˜µ≤≥÷,metadata,26
27,Mex,list1,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,other,27
28,US,list2,1/2,metadata,28
29,Other,list2,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,other,29
30,Mex,list1,　,other,30
31,US,list3,‫test‫,metadata,31
32,US,list1,﻿,metadata,32
33,Mex,list2,1/2,other,33
34,Mex,list3,../../../../../../../../../../../etc/passwd%00,metadata,34
35,US,list3,1.00,other,35
36,Mex,list1,1E2,metadata,36
37,Other,list3,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,other,37
38,US,list3,᠎,metadata,38
39,Other,list1,-1,other,39
40,US,list2,1/0,other,40
41,US,list2,!@#$%^&*(),other,41
42,Mex,list2,(｡◕ ∀ ◕｡),other,42
43,Mex,list3,/dev/null; touch /tmp/blns.fail ; echo,metadata,43
44,Other,list1,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",metadata,44
45,US,list3,nil,other,45
46,Other,list3,⁦test⁧,metadata,46
47,Mex,list2,・(￣∀￣)・:*:,metadata,47
48,Other,list1,¡™£¢∞§¶•ªº–≠,metadata,48
49,Mex,list2,NIL,metadata,49
50,US,list2,-1/2,metadata,50
51,Other,list2,｀ｨ(´∀｀∩,other,51
52,US,list2,-1E2,other,52
53,Mex,list1, test ,other,53
54,Other,list1,‫test‫,metadata,54
55,Mex,list1,¡™£¢∞§¶•ªº–≠,metadata,55
56,Other,list1,NULL,other,56
57,Mex,list3, ,other,57
58,US,list3,œ∑´®†¥¨ˆøπ“‘,metadata,58
59,US,list3,"'""'",metadata,59
60,Mex,list3,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,other,60
61,US,list3,!@#$%^&*(),other,61
62,Other,list1,😍,metadata,62
63,US,list2,₀₁₂,metadata,63
64,Other,list1,😍,other,64
65,US,list2,',other,65
66,Other,list2,1E2,metadata,66
67,Mex,list1,<svg><script>0<1>alert('XSS')</script>,metadata,67
68,Mex,list2,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,other,68
69,Mex,list3,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,other,69
70,US,list3,"""",metadata,70
71,Mex,list2,test⁠test‫,metadata,71
72,US,list3,␡,other,72
73,Mex,list2,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,other,73
74,Mex,list1,NIL,metadata,74
75,US,list1,1'; DROP TABLE users--,metadata,75
76,Other,list1,部落格,other,76
77,Other,list3,1.00,metadata,77
78,US,list1,',metadata,78
79,Other,list2,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",other,79
80,Other,list2,,metadata,80
81,Other,list3,../../../../../../../../../../../etc/hosts,metadata,81
82,Mex,list3,,metadata,82
83,US,list2,-1E2,metadata,83
84,Other,list1,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",metadata,84
85,Mex,list3,​,other,85
86,Mex,list3,¡™£¢∞§¶•ªº–≠,other,86
87,Other,list2,​,other,87
88,US,list2,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",metadata,88
89,Other,list3,⁰⁴⁵₀₁₂,other,89
90,Mex,list2,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },other,90
91,Other,list3,1.00,other,91
92,US,list2,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,metadata,92
93,Mex,list3,Œ„´‰ˇÁ¨ˆØ∏”’,metadata,93
94,Other,list3,₀₁₂,metadata,94
95,Mex,list2,　,other,95
96,Mex,list3,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,other,96
97,US,list2,👩🏽,other,97
98,US,list2,１２３,metadata,98
99,Other,list1,test⁠test‫,metadata,99
100,Other,list2,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,metadata,100
101,US,list1,١٢٣,other,101
102,Other,list3,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,metadata,102
103,Other,list1,울란바토르,metadata,103
104,US,list1,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,metadata,104
105,Mex,list3,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,other,105
106,Other,list1,,other,106
107,Mex,list2,(｡◕ ∀ ◕｡),other,107
108,US,list2,᠎,metadata,108
109,Other,list1,-1E02,metadata,109
110,Mex,list3,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,metadata,110
111,Other,list2,"""""",other,111
112,Mex,list3,",./;'[]\-=",metadata,112
113,US,list2,部落格,metadata,113
114,Other,list2,Œ„´‰ˇÁ¨ˆØ∏”’,metadata,114
115,Other,list3,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,other,115
116,Mex,list2,​,metadata,116
117,Other,list1,(｡◕ ∀ ◕｡),metadata,117
118,US,list2,₀₁₂,other,118
119,US,list2,・(￣∀￣)・:*:,metadata,119
120,US,list3,"""",other,120
121,US,list3,../../../../../../../../../../../etc/passwd%00,metadata,121
122,Other,list2,社會科學院語學研究所,other,122
123,Mex,list3,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,metadata,123
124,Other,list2,⁰⁴⁵,metadata,124
125,Mex,list1,﻿,metadata,125
126,Other,list2,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",other,126
127,US,list2,../../../../../../../../../../../etc/passwd%00,other,127
128,US,list3,1E02,metadata,128
129,Mex,list3,<script>alert('hi')</script>,metadata,129
130,Mex,list1,-1,metadata,130
131,US,list3,1,metadata,131
132,Other,list3,../../../../../../../../../../../etc/passwd%00,other,132
133,US,list1,-1,metadata,133
134,Other,list1,'',other,134
135,Mex,list2,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,metadata,135
136,Mex,list1,1;DROP TABLE users,other,136
137,Mex,list3,(｡◕ ∀ ◕｡),other,137
138,US,list3,-$1.00,other,138
139,US,list3,",./;'[]\-=",metadata,139
140,Mex,list1,Œ„´‰ˇÁ¨ˆØ∏”’,metadata,140
141,Mex,list1,␣,metadata,141
142,Mex,list2,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,metadata,142
143,US,list2,,other,143
144,US,list2,œ∑´®†¥¨ˆøπ“‘,other,144
145,US,list1,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,metadata,145
146,US,list2,nil,other,146
147,Mex,list3,사회과학원 어학연구소,other,147
148,Other,list3,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,other,148
149,Other,list2,-1E+02,other,149
150,Mex,list3,ÅÍÎÏ˝ÓÔÒÚÆ☃,metadata,150
151,Mex,list2,⁦test⁧,other,151
152,Mex,list2,　,metadata,152
153,Mex,list2,¸˛Ç◊ı˜Â¯˘¿,other,153
154,US,list2,😍,other,154
155,US,list1,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,other,155
156,US,list2,nil,metadata,156
157,Other,list1,Œ„´‰ˇÁ¨ˆØ∏”’,metadata,157
158,US,list3,⁰⁴⁵₀₁₂,metadata,158
159,Mex,list2,1;DROP TABLE users,other,159
160,US,list3,"""",other,160
161,US,list2,１２３,metadata,161
162,US,list2,../../../../../../../../../../../etc/passwd%00,other,162
163,US,list1,␣,other,163
164,Mex,list3,',metadata,164
165,US,list2,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,other,165
166,Other,list1,١٢٣,metadata,166
167,US,list1,1,metadata,167
168,Other,list3,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,other,168
169,Other,list1,¸˛Ç◊ı˜Â¯˘¿,other,169
170,Other,list2,1;DROP TABLE users,metadata,170
171,US,list3,社會科學院語學研究所,other,171
172,Other,list1,null,metadata,172
173,US,list2,"<>?:""{}|_+",metadata,173
174,Mex,list2,',metadata,174
175,US,list3,部落格,metadata,175
176,Mex,list3,1,other,176
177,Other,list3,../../../../../../../../../../../etc/passwd%00,other,177
178,Mex,list1,␢,other,178
179,Other,list1,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,other,179
180,Other,list1,﻿,other,180
181,Mex,list1,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },metadata,181
182,US,list2,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",metadata,182
183,Other,list1,1,metadata,183
184,Mex,list1,"<>?:""{}|_+",metadata,184
185,Other,list2,部落格,other,185
186,Mex,list1,｀ｨ(´∀｀∩,other,186
187,US,list3,‪‪test‪,other,187
188,Other,list2, test ,metadata,188
189,Mex,list2,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,other,189
190,Other,list1,社會科學院語學研究所,other,190
191,Other,list1,1E2,other,191
192,Mex,list3,😍,other,192
193,Other,list3,⁰⁴⁵₀₁₂,metadata,193
194,Other,list2,␡,metadata,194
195,Mex,list2,١٢٣,metadata,195
196,Mex,list3,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,other,196
197,Other,list2,"__ﾛ(,_,*)",metadata,197
198,US,list2,　,metadata,198
199,US,list3,👩🏽,metadata,199
200,Other,list2,"""''''""'""",metadata,200
201,US,list1,/dev/null; touch /tmp/blns.fail ; echo,other,201
202,Mex,list2,,other,202
203,US,list1,(｡◕ ∀ ◕｡),metadata,203
204,US,list1,Œ„´‰ˇÁ¨ˆØ∏”’,other,204
205,Mex,list1,사회과학원 어학연구소,metadata,205
206,Mex,list3,<script>alert('hi')</script>,other,206
207,US,list3,"""",metadata,207
208,Other,list1,"'""'",metadata,208
209,Other,list2,部落格,other,209
210,Mex,list2,`⁄€‹›ﬁﬂ‡°·‚—±,other,210
211,Mex,list2,1E+02,other,211
212,US,list1,"'""'",metadata,212
213,Other,list1, test ,other,213
214,US,list2,'',other,214
215,US,list2,1E2,other,215
216,Mex,list2,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",metadata,216
217,Other,list2,1'; DROP TABLE users--,other,217
218,US,list3,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,other,218
219,Mex,list1,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,metadata,219
220,US,list1,1'; DROP TABLE users--,other,220
221,Mex,list3,パーティーへ行かないか,other,221
222,Mex,list1,　,other,222
223,Other,list2,(╯°□°）╯︵ ┻━┻)  ,other,223
224,US,list1,␢,other,224
225,Other,list1,社會科學院語學研究所,metadata,225
226,US,list1,`⁄€‹›ﬁﬂ‡°·‚—±,other,226
227,US,list2,",./;'[]\-=",metadata,227
228,US,list2,-1E2,other,228
229,Mex,list3,nil,other,229
230,US,list1,"<>?:""{}|_+",other,230
231,US,list2,-$1.00,metadata,231
232,Mex,list2,/dev/null; touch /tmp/blns.fail ; echo,other,232
233,US,list2,00˙Ɩ$-,other,233
234,US,list3,😍,metadata,234
235,Mex,list1,<script>alert('hi')</script>,other,235
236,US,list1,-1,other,236
237,Mex,list1,-1E2,metadata,237
238,Mex,list1,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },other,238
239,US,list2,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,other,239
240,US,list1,NULL,metadata,240
241,Other,list3,() { 0; }; touch /tmp/blns.shellshock1.fail;,other,241
242,Mex,list2,../../../../../../../../../../../etc/hosts,other,242
243,Mex,list3,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,metadata,243
244,US,list3,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,metadata,244
245,US,list1,../../../../../../../../../../../etc/passwd%00,metadata,245
246,Other,list3,1'; DROP TABLE users--,other,246
247,Mex,list2,᠎,other,247
248,US,list3,!@#$%^&*(),other,248
249,Mex,list2,00˙Ɩ$-,other,249
250,US,list1,1,metadata,250
251,US,list1,<script>alert('hi')</script>,other,251
252,Other,list3,<img src=x onerror=alert('hi') />,metadata,252
253,US,list3,-1E2,metadata,253
254,US,list2,<script>alert('hi')</script>,other,254
255,Mex,list1,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,other,255
256,US,list1,‪‪test‪,other,256
257,US,list1,NULL,other,257
258,US,list3,␡,metadata,258
259,Mex,list2,⁰⁴⁵,metadata,259
260,Mex,list1,(╯°□°）╯︵ ┻━┻)  ,other,260
261,US,list1,🐵 🙈 🙉 🙊,metadata,261
262,Mex,list2,הָיְתָהtestالصفحات التّحول,metadata,262
263,Mex,list1, ,metadata,263
264,Mex,list1,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,metadata,264
265,US,list1,nil,metadata,265
266,Mex,list3,-$1.00,other,266
267,US,list2, test ,metadata,267
268,Other,list2,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,metadata,268
269,Other,list3,test⁠test‫,other,269
270,Other,list1,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,metadata,270
271,Mex,list2,הָיְתָהtestالصفحات التّحول,other,271
272,Other,list2, ,other,272
273,Other,list1,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,other,273
274,Mex,list3,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,metadata,274
275,US,list2,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",other,275
276,Other,list1,¸˛Ç◊ı˜Â¯˘¿,metadata,276
277,Mex,list3,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,metadata,277
278,US,list3,<img src=x onerror=alert('hi') />,metadata,278
279,US,list1,᠎,other,279
280,Mex,list1,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,other,280
281,Mex,list3,-1E02,other,281
282,US,list3,⁰⁴⁵,metadata,282
283,Mex,list1,‪‪test‪,metadata,283
284,US,list2,⁰⁴⁵₀₁₂,metadata,284
